100 2300
22 32 1
6 75 2
90 93 10
81 90 1
65 90 9
36 78 4
32 39 7
4 95 1
8 67 5
1 3 3
36 55 5
50 53 4
21 55 8
19 51 1
8 79 6
16 88 6
43 89 8
15 92 10
2 98 9
0 71 10
50 71 9
48 74 7
17 74 9
15 65 7
31 94 5
0 61 9
18 95 9
51 79 4
21 59 6
86 94 4
77 82 4
51 87 4
2 17 4
24 32 6
36 37 8
8 50 9
60 75 1
37 91 10
7 28 2
39 79 1
4 79 1
1 99 6
2 47 9
1 23 8
15 39 5
56 81 1
14 46 9
14 20 4
11 54 7
67 69 6
96 99 1
47 70 7
72 92 9
5 73 3
4 99 5
42 43 3
38 78 4
30 56 3
11 33 4
26 94 3
10 65 6
2 23 10
75 91 10
17 65 2
62 81 8
11 87 1
36 71 1
17 51 1
11 69 5
0 19 5
19 23 1
57 75 3
31 85 6
2 61 4
44 98 5
94 98 5
34 57 9
28 32 6
2 10 1
40 65 3
38 39 5
3 91 8
11 89 4
90 92 4
43 77 5
72 90 7
38 50 9
63 77 6
10 34 2
23 50 4
8 80 2
77 84 2
12 47 8
15 31 4
0 93 7
69 74 8
36 46 3
39 56 1
11 60 9
3 10 8
24 86 10
15 40 3
28 77 4
2 94 3
73 91 3
67 97 6
17 68 4
10 84 3
34 55 3
18 60 5
26 95 9
47 85 9
71 74 1
18 24 6
70 91 6
5 84 8
47 72 6
27 54 6
2 21 7
7 57 9
30 59 9
24 45 8
46 79 8
27 49 10
96 97 8
36 80 7
22 80 9
37 59 2
74 92 1
11 67 10
54 58 5
21 67 1
67 76 9
22 94 1
11 24 3
44 72 6
55 95 8
59 89 8
36 52 3
6 20 9
12 69 1
33 89 7
20 28 9
0 75 6
21 74 5
13 65 1
18 27 7
86 90 2
3 41 10
41 80 8
55 94 1
5 50 2
15 70 2
54 70 3
43 65 7
44 79 9
41 88 3
58 69 4
4 42 7
16 68 9
23 42 6
95 96 3
5 80 3
0 14 1
21 75 2
8 51 6
13 28 5
61 96 8
25 79 1
3 25 10
5 70 4
9 43 3
15 69 10
19 64 2
6 41 1
21 53 6
19 21 7
54 81 4
49 84 4
70 88 6
36 88 3
80 84 5
52 80 3
12 79 3
0 25 3
31 41 5
38 80 4
28 96 6
3 5 5
38 53 4
1 77 4
2 75 6
16 22 1
91 97 9
3 74 4
46 70 2
1 6 6
21 65 5
2 59 9
13 56 9
3 90 9
29 95 9
13 94 9
14 37 7
24 97 3
19 76 10
41 65 8
42 68 1
63 66 2
23 68 2
47 53 8
19 75 9
65 76 10
12 78 6
72 99 3
13 18 7
4 35 4
2 74 10
46 55 6
29 52 5
6 46 10
9 41 4
49 56 3
37 90 5
63 78 1
25 59 6
46 94 1
34 35 5
21 70 5
7 20 9
92 97 3
6 29 8
76 82 2
2 26 10
20 61 7
23 79 10
27 95 4
25 41 9
53 70 2
48 49 10
67 80 9
24 92 8
38 91 10
5 37 1
39 63 6
83 88 7
31 40 5
67 90 8
5 8 6
57 84 5
22 28 4
58 82 8
12 18 7
15 71 7
0 79 9
45 59 9
26 73 9
75 86 7
75 80 2
63 83 2
9 78 8
27 92 3
45 95 8
22 97 9
20 83 2
2 40 7
42 53 9
30 88 8
88 99 7
84 91 8
29 98 8
5 9 2
51 99 8
13 62 8
39 86 9
21 38 10
37 88 2
16 91 9
37 85 9
50 90 10
6 99 5
13 48 4
44 94 8
26 59 2
27 90 3
7 88 5
20 90 7
84 89 5
68 75 8
43 88 7
17 93 7
5 64 7
89 93 5
18 52 4
52 98 3
1 47 4
18 44 4
61 62 5
5 23 4
24 89 7
54 55 1
11 41 4
44 45 4
16 79 10
48 57 7
13 71 6
2 25 9
12 39 1
9 66 4
35 88 1
36 86 10
65 89 9
28 30 5
22 61 1
77 78 6
63 93 4
61 90 9
35 73 8
33 51 6
12 44 3
18 94 9
25 74 4
21 42 1
8 84 4
47 76 7
8 32 5
30 95 8
5 14 1
54 99 9
89 96 9
19 25 7
41 91 10
50 79 4
17 44 10
24 71 10
5 39 1
53 56 5
57 97 9
48 82 8
28 41 8
15 27 5
75 78 5
37 54 10
46 91 6
33 98 1
34 47 6
37 65 6
28 36 5
43 62 4
7 29 9
84 88 2
21 32 6
55 82 6
35 93 1
61 92 6
34 76 2
4 48 8
21 83 3
31 72 2
33 64 4
1 68 4
2 73 3
38 66 3
2 16 9
34 51 5
22 70 2
35 40 2
45 66 6
5 59 8
49 87 6
11 17 6
76 80 5
60 62 5
36 91 6
3 21 1
66 84 6
14 84 2
24 37 8
53 84 4
21 30 10
31 91 2
51 96 9
82 89 2
41 85 2
23 69 1
9 10 9
36 84 3
9 90 5
41 64 1
43 51 7
52 82 8
7 39 5
44 50 5
36 66 8
19 36 9
6 45 6
27 60 10
60 71 5
1 34 9
0 53 2
10 66 7
76 96 8
17 57 9
64 65 4
4 92 3
21 52 4
7 73 6
43 96 6
14 59 7
16 82 7
44 58 10
62 87 3
18 33 5
36 89 3
4 50 1
20 42 9
3 88 10
65 78 2
72 81 2
55 76 4
49 93 4
51 56 7
27 28 6
37 89 6
31 63 3
12 33 9
63 94 7
18 81 6
66 75 5
44 54 8
2 45 6
8 53 10
5 92 9
53 91 4
5 13 9
31 53 10
36 98 10
42 81 9
80 89 3
1 74 9
9 52 5
0 2 2
48 54 10
22 74 10
11 80 3
20 86 4
10 98 3
30 77 8
15 59 5
50 64 4
18 35 4
44 96 7
29 77 3
42 98 6
59 67 6
8 75 2
10 31 8
58 97 9
29 86 8
37 68 3
15 64 8
63 96 9
12 48 7
38 69 4
49 99 10
27 94 5
30 94 7
83 84 1
74 89 3
3 97 8
12 36 9
24 35 8
18 50 1
24 44 6
10 19 8
46 74 9
69 78 4
80 81 3
13 77 4
9 18 6
8 61 6
15 90 1
13 91 2
52 83 7
27 73 9
21 69 6
3 54 3
16 46 3
76 89 8
16 45 8
32 93 7
21 45 6
41 55 5
20 70 7
55 56 7
64 92 7
83 98 10
67 78 4
38 95 8
32 45 3
6 82 1
81 82 4
34 94 3
82 86 10
56 86 7
13 61 8
50 93 3
0 6 8
25 84 4
62 68 9
1 25 5
71 84 9
82 93 9
1 11 6
27 45 6
8 15 2
45 91 1
62 76 1
13 66 8
1 88 6
0 58 6
39 88 6
27 61 5
22 98 4
8 10 1
26 54 2
23 85 5
30 87 3
21 29 1
63 64 9
17 29 4
30 68 4
0 69 1
12 60 8
40 89 2
60 93 4
33 55 3
13 50 4
25 66 7
24 99 10
16 93 3
60 74 7
33 75 7
41 69 4
2 76 1
14 90 7
69 95 5
40 73 3
85 86 9
9 57 1
3 4 9
55 57 4
13 92 4
7 50 5
37 84 6
0 44 9
50 99 2
61 95 9
30 86 5
24 64 9
14 25 3
30 72 2
90 95 8
64 99 2
90 98 8
34 77 10
52 92 8
5 86 2
15 46 3
29 38 3
21 68 8
87 99 9
67 71 9
68 78 2
51 69 3
12 15 6
32 72 6
18 37 3
1 86 6
33 66 8
25 30 6
84 98 2
0 63 2
30 46 3
54 78 8
49 68 7
3 22 2
10 56 10
34 64 6
7 23 5
1 35 5
15 47 6
44 47 4
27 39 3
48 67 5
25 88 5
33 71 9
26 99 6
16 51 6
10 58 9
45 52 10
49 60 6
24 43 7
13 16 6
86 91 7
11 75 5
56 89 6
11 20 5
70 73 9
76 86 3
65 75 2
43 98 1
54 57 4
8 81 9
7 54 3
5 83 6
36 68 9
33 44 3
8 40 4
55 83 8
13 53 6
3 46 8
29 63 2
72 74 4
0 55 2
3 50 10
3 81 8
37 81 8
6 78 9
35 57 5
29 73 1
11 25 6
20 47 6
58 60 5
52 73 9
42 45 5
15 56 4
25 86 2
19 93 4
15 75 10
61 82 6
45 98 4
74 80 7
25 87 4
51 67 9
27 57 3
5 67 1
51 77 8
60 77 10
10 25 3
48 53 10
29 42 4
65 96 2
7 31 5
40 57 4
3 51 8
38 61 4
32 70 3
79 91 5
20 54 2
27 82 3
3 48 7
0 38 10
54 85 5
45 81 4
30 48 8
61 83 3
68 87 10
7 15 3
6 36 1
8 24 10
4 36 10
56 69 1
23 52 7
15 66 8
58 73 8
32 37 2
67 99 3
78 91 8
59 72 9
13 44 9
7 32 6
31 73 1
26 46 5
20 69 10
59 90 8
18 31 4
29 59 2
11 71 3
12 54 2
41 53 5
63 76 1
58 79 5
72 84 6
48 70 7
26 53 2
16 95 3
78 99 8
31 57 2
39 40 7
4 76 3
65 69 9
31 90 10
0 23 2
17 75 4
56 64 6
35 74 2
9 25 6
23 83 5
2 88 9
8 77 9
24 59 8
23 97 1
64 84 1
33 95 7
20 58 9
3 23 1
5 93 3
53 74 2
49 95 1
44 83 4
18 82 7
73 95 7
57 61 6
11 62 10
55 97 7
76 99 3
8 94 7
77 88 9
55 91 2
15 36 3
65 68 1
80 99 7
9 36 5
39 70 3
28 68 7
32 67 7
37 67 5
4 72 3
55 81 10
48 98 6
47 94 7
53 76 9
20 34 2
6 66 9
19 48 8
23 54 6
4 34 9
50 54 10
93 98 9
45 62 7
8 65 10
88 95 9
92 99 3
33 82 1
3 72 10
60 80 10
6 59 8
55 96 9
9 33 10
40 99 8
60 68 2
11 48 9
56 99 4
26 82 9
82 97 4
10 30 2
22 63 10
6 57 7
19 50 10
19 32 6
18 20 3
12 88 7
25 57 10
19 55 3
32 65 4
0 22 3
41 60 6
52 72 9
20 49 3
10 62 4
10 80 5
17 58 3
24 28 7
5 87 9
11 88 4
41 70 7
87 95 4
47 80 1
50 88 7
18 76 10
1 50 5
38 71 9
55 90 3
50 58 6
47 58 10
30 42 6
44 81 10
8 72 5
0 27 4
79 82 10
52 57 2
63 91 1
73 79 5
50 77 6
47 71 10
54 84 4
27 38 9
5 29 9
71 86 3
48 73 8
27 51 8
38 94 8
50 80 5
1 64 9
9 16 2
1 97 3
24 46 8
60 65 4
60 81 6
37 63 9
40 48 2
19 42 7
65 81 3
16 34 4
3 95 10
77 97 10
78 81 8
59 83 3
36 65 8
12 64 1
3 76 10
28 40 1
35 72 2
27 77 7
34 68 7
11 37 6
5 76 4
17 39 3
2 69 4
41 74 1
45 73 9
38 76 2
54 76 2
11 26 3
81 89 2
1 53 1
6 80 4
2 63 4
32 75 6
82 88 6
35 75 4
22 40 4
23 26 10
41 92 7
11 91 7
10 44 4
50 59 5
57 87 1
63 98 6
39 89 7
62 80 5
10 16 8
8 73 1
14 77 4
80 94 3
24 40 8
29 46 2
2 30 6
41 95 4
44 46 5
3 52 10
16 81 3
17 38 4
1 17 10
40 98 9
4 8 3
6 52 7
15 61 9
30 49 2
30 70 5
56 92 6
68 69 6
26 61 6
29 35 10
0 52 4
25 62 5
49 86 2
25 48 4
31 54 1
18 93 4
55 99 4
34 41 4
12 97 6
28 29 9
20 48 9
42 54 10
40 86 2
24 38 3
19 85 2
44 84 10
76 95 10
44 62 2
2 55 7
51 68 10
34 63 3
35 43 5
4 98 6
20 74 8
38 67 3
56 58 4
18 47 8
83 94 3
20 84 2
43 63 3
79 84 3
48 97 8
22 39 10
0 81 8
70 75 1
25 75 10
4 96 7
32 83 7
17 79 5
38 86 2
24 90 3
18 62 4
95 98 3
7 67 2
25 26 9
30 62 8
51 63 3
71 85 9
13 35 10
26 77 9
5 51 8
25 85 4
94 95 4
41 81 2
57 64 6
27 84 6
11 86 8
26 62 2
22 29 1
12 38 4
44 90 2
12 66 5
94 99 2
15 38 8
53 90 3
38 58 4
9 76 9
3 63 1
1 58 9
11 61 7
2 20 8
32 99 5
43 76 5
53 61 5
37 39 6
18 96 2
10 87 6
40 63 7
46 68 6
15 82 8
66 72 5
9 39 2
26 91 8
3 35 2
1 18 5
19 57 10
18 91 10
13 84 1
34 70 6
27 56 2
67 77 10
26 74 6
76 90 3
31 43 4
54 63 3
36 99 8
30 79 2
46 48 7
28 65 7
58 64 10
60 92 4
19 89 5
5 60 10
11 90 8
21 96 2
42 61 6
53 89 9
33 52 5
20 46 1
5 24 3
4 64 4
82 95 3
40 97 5
13 88 2
7 26 9
9 35 2
37 79 3
18 66 9
50 55 4
71 79 4
9 49 6
41 82 1
17 52 7
41 86 4
53 79 7
41 97 7
38 85 2
85 94 2
88 96 4
36 40 4
7 70 5
1 75 3
2 58 5
45 65 2
25 33 9
7 12 2
36 75 2
60 78 2
44 87 8
95 97 8
6 64 5
43 87 2
26 32 2
27 89 10
37 72 9
67 93 4
7 46 4
76 91 7
47 87 6
36 53 5
20 33 5
71 73 1
40 43 2
2 39 3
21 78 6
26 89 5
9 21 3
51 83 5
15 37 4
77 90 10
47 56 6
7 45 4
9 87 10
16 77 1
5 97 9
2 42 3
33 86 3
24 57 9
8 74 6
16 98 5
53 67 2
14 48 8
28 98 1
26 92 3
26 31 6
19 82 3
2 33 1
13 43 8
2 86 5
26 67 6
0 31 5
67 74 7
10 72 2
81 87 6
41 56 6
38 87 10
7 99 7
46 63 1
9 15 7
33 60 3
30 80 8
79 98 3
60 66 6
2 71 9
73 80 1
2 67 6
42 59 10
63 79 7
31 81 7
22 34 8
19 94 3
7 27 8
35 56 8
13 79 4
3 68 1
40 46 1
38 99 1
1 85 1
90 96 6
55 98 10
28 54 10
70 87 1
40 56 5
11 97 7
30 90 2
16 47 7
24 60 10
12 26 10
3 67 2
51 88 7
9 38 9
39 97 5
19 86 8
54 90 7
27 97 3
23 53 5
57 71 9
39 61 3
14 94 7
74 86 5
28 33 6
33 68 7
53 93 6
37 95 6
73 76 6
5 28 6
16 64 7
4 97 3
11 81 9
32 94 3
14 47 5
20 72 8
62 64 6
30 40 6
59 88 6
32 50 10
4 56 4
59 69 6
22 54 6
19 52 4
38 40 8
17 96 9
8 64 1
30 31 10
57 86 7
37 55 4
85 87 9
91 96 10
36 83 1
0 16 5
68 72 5
54 87 6
73 87 2
51 93 3
15 67 9
7 72 3
29 36 3
9 17 5
7 59 10
27 31 10
42 92 3
32 91 10
62 75 9
12 81 6
4 88 8
78 98 4
46 75 6
49 98 10
56 57 1
2 95 9
58 74 1
66 68 6
6 49 5
33 87 5
27 69 1
63 69 5
64 68 5
70 80 2
78 88 4
21 89 6
41 58 5
51 66 6
4 66 6
2 68 6
13 64 6
5 78 8
16 19 10
30 99 3
65 94 6
70 78 3
22 52 6
13 63 9
61 86 1
38 92 4
3 75 2
44 57 7
72 80 1
40 69 1
79 81 3
58 78 8
58 61 10
10 18 4
28 83 9
2 96 8
26 27 4
83 90 3
21 58 1
28 72 5
51 75 9
71 80 3
35 86 5
11 77 7
60 95 2
14 28 9
23 75 10
39 95 10
78 92 9
44 86 2
1 71 4
4 9 6
39 91 3
92 98 9
41 94 1
9 48 9
6 58 6
54 72 1
39 87 9
0 57 9
54 96 2
3 62 1
41 59 4
16 99 7
14 52 10
29 58 10
33 78 5
24 25 9
45 76 2
14 98 3
72 77 10
28 92 1
3 96 2
20 40 3
62 67 2
38 46 4
24 79 7
38 74 4
64 77 4
14 95 2
52 89 9
25 72 1
14 18 9
3 30 2
37 62 2
1 36 3
10 86 5
64 81 1
23 66 5
70 81 5
52 95 9
75 79 1
31 48 4
9 40 3
12 74 6
35 77 7
37 87 3
0 45 8
17 64 8
26 78 4
36 51 9
48 83 10
39 59 3
45 89 4
20 55 7
53 99 5
71 83 4
10 67 2
71 96 1
34 96 2
33 43 3
32 64 5
16 29 6
52 78 10
87 90 1
77 92 1
2 32 6
43 68 7
4 38 5
79 85 10
43 59 1
57 82 8
15 89 10
2 84 7
3 16 2
3 55 4
17 28 2
16 42 1
31 65 9
30 75 3
15 49 1
29 87 9
46 84 1
34 37 7
55 69 2
34 54 2
37 58 6
34 75 7
44 91 7
58 90 10
43 83 1
31 52 3
37 76 5
9 82 10
9 22 7
33 93 10
6 42 6
59 65 10
36 49 6
15 62 7
13 78 6
11 58 2
62 91 7
6 40 1
23 89 9
53 73 3
25 50 7
65 84 3
70 77 5
46 86 10
2 52 7
52 68 9
64 83 3
0 78 9
11 12 3
23 31 7
33 88 4
17 19 3
41 71 9
54 75 4
78 90 7
65 91 10
6 35 4
8 26 1
31 78 6
4 77 7
61 84 6
27 53 9
31 70 10
8 39 2
9 85 2
7 94 9
28 60 10
33 37 10
32 47 2
26 97 2
16 54 3
6 71 6
45 67 5
10 75 10
5 10 3
18 71 6
8 41 9
62 97 5
27 74 9
9 47 9
20 81 4
44 64 4
31 74 6
48 69 4
5 17 10
42 51 2
0 96 8
41 52 4
20 26 3
20 67 6
71 87 4
25 65 7
7 84 6
34 89 4
6 87 4
40 94 7
25 64 6
63 82 2
45 84 7
89 98 1
66 89 6
69 94 9
62 73 1
8 25 3
29 85 4
8 97 8
53 58 3
27 37 5
58 77 7
38 63 1
7 51 3
0 89 3
15 77 5
0 5 4
43 94 1
41 73 5
7 61 9
42 67 10
2 66 6
18 86 8
52 56 1
89 99 5
30 32 9
33 39 8
2 53 6
46 65 1
69 81 5
91 95 9
17 85 5
16 86 7
1 83 8
27 50 1
89 94 7
54 59 6
34 56 8
18 41 2
42 72 7
21 25 4
33 94 10
4 67 10
74 85 2
6 11 8
68 71 10
62 84 1
3 32 9
5 46 3
46 99 3
8 16 7
1 38 4
35 62 4
32 36 7
81 91 1
69 93 2
38 41 6
22 82 4
31 39 7
10 42 3
44 68 9
59 99 1
56 72 7
18 39 1
23 91 4
53 96 10
66 67 1
36 82 4
13 46 7
33 41 10
18 70 7
9 97 1
6 72 1
47 68 1
7 96 10
73 96 8
69 96 2
56 78 3
37 53 3
38 83 7
63 92 6
3 11 2
50 86 5
25 47 4
23 30 10
6 30 8
19 68 2
13 21 1
12 50 2
10 33 5
31 64 2
31 55 6
11 70 2
1 62 3
18 92 7
58 87 9
20 78 9
62 94 1
93 96 3
75 87 7
39 71 5
7 33 8
68 73 5
50 51 5
52 54 6
0 32 7
16 43 3
1 31 3
25 73 5
4 45 3
11 22 6
70 98 6
0 30 1
37 45 3
66 91 9
8 89 6
19 40 1
57 59 9
18 98 6
38 93 6
4 90 2
55 93 7
55 75 5
59 68 5
36 48 3
38 89 5
79 89 8
16 66 2
37 49 1
22 58 4
20 21 8
1 93 5
74 79 4
2 91 7
29 75 2
41 72 10
24 68 10
62 70 2
24 76 7
20 97 3
33 42 3
77 93 1
78 86 5
24 80 1
17 92 7
53 60 5
0 62 6
35 44 6
37 60 1
4 17 8
59 78 2
59 79 1
0 8 1
74 96 6
26 36 2
28 44 6
74 84 9
12 96 6
24 81 3
62 83 4
67 91 2
12 28 4
48 56 5
45 77 2
53 92 2
43 90 8
35 41 5
41 76 8
13 98 2
78 83 6
83 93 4
15 93 6
22 37 1
32 81 10
74 97 9
28 71 8
4 5 5
84 94 3
13 57 5
58 80 10
22 95 5
9 14 3
49 51 5
3 84 7
48 61 2
28 91 10
19 45 2
24 72 9
10 63 10
60 88 2
71 77 4
34 90 8
4 11 4
